<class 'DQN.dqn.DQN'>
<DQN.dqn.DQN object at 0x148a70f10>
<class 'numpy.float64'> -0.08838141248216289 0.0
<class 'numpy.float64'> -2.3998627552579976 0.0
<class 'numpy.float64'> -1.38504000285522 0.0
<class 'numpy.float64'> -1.4376114355127925 0.0
<class 'numpy.float64'> 0.8385771729060536 0.0
<class 'numpy.float64'> -0.500052340607765 0.0
<class 'numpy.float64'> -0.3419509284489084 0.0
<class 'numpy.float64'> -1.2128252888893485 0.0
<class 'numpy.float64'> -2.3847847976344654 0.0
<class 'numpy.float64'> -2.4588513199693396 0.0
<class 'numpy.float64'> -1.646844648214227 0.0
<class 'numpy.float64'> 2.4211131066921157 0.0
<class 'numpy.float64'> -0.8748691111625522 0.0
<class 'numpy.float64'> -2.5827378473352653 0.0
<class 'numpy.float64'> -0.4372388443185457 0.0
<class 'numpy.float64'> 2.4381937420378224 0.0
<class 'numpy.float64'> 0.5185147057637038 0.0
<class 'numpy.float64'> 1.1202519061601037 0.0
<class 'numpy.float64'> -2.7460531299226134 0.0
<class 'numpy.float64'> -1.1198337793015287 0.0
<class 'numpy.float64'> -2.859258105600047 0.0
<class 'numpy.float64'> -2.9978287751088417 0.0
<class 'numpy.float64'> -3.336964292450743 0.0
<class 'numpy.float64'> -3.1401487940937316 0.0
<class 'numpy.float64'> -1.7628901308977152 0.0
<class 'numpy.float64'> -3.4468346561799295 0.0
<class 'numpy.float64'> -1.5109187225781955 0.0
<class 'numpy.float64'> 1.6858930925700235 0.0
<class 'numpy.float64'> 0.5372549945180196 0.0
<class 'numpy.float64'> -1.361648702613279 0.0
<class 'numpy.float64'> -2.919609138718782 0.0
<class 'numpy.float64'> -2.4365613449644057 0.0
<class 'numpy.float64'> -2.158476495594101 0.0
<class 'numpy.float64'> -2.1425565451400814 0.0
<class 'numpy.float64'> 0.7883673736252319 0.0
<class 'numpy.float64'> -1.4099988855267884 0.0
<class 'numpy.float64'> -2.0307976447324734 0.0
<class 'numpy.float64'> -1.2907198063957697 0.0
<class 'numpy.float64'> -3.0582598935179406 0.0
<class 'numpy.float64'> -2.8682355692032204 0.0
<class 'numpy.float64'> -2.1882295962670355 0.0
<class 'numpy.float64'> -2.163009606700939 0.0
<class 'numpy.float64'> -3.1740593139773225 0.0
<class 'numpy.float64'> -1.3435830830024134 0.0
<class 'numpy.float64'> -2.894078931048169 0.0
<class 'numpy.float64'> -1.416060093241241 0.0
<class 'numpy.float64'> -0.06159107785076684 0.0
<class 'numpy.float64'> -1.0257466030956255 0.0
<class 'numpy.float64'> -1.8392130811661502 0.0
<class 'numpy.float64'> -1.8125465218586214 0.0
<class 'numpy.float64'> -1.4942052533520098 0.0
<class 'numpy.float64'> -0.6079441333878879 0.0
<class 'numpy.float64'> -0.5687697684867874 0.0
<class 'numpy.float64'> -0.4819412210153462 0.0
<class 'numpy.float64'> -1.9909475174554518 0.0
<class 'numpy.float64'> -2.2546091147355285 0.0
<class 'numpy.float64'> -0.8090400172402952 0.0
<class 'numpy.float64'> -0.43608078542248907 0.0
<class 'numpy.float64'> -1.231140609370243 0.0
<class 'numpy.float64'> -2.112850868924197 0.0
<class 'numpy.float64'> -2.391903653868353 0.0
<class 'numpy.float64'> -2.4399431750446454 0.0
<class 'numpy.float64'> -2.7431378900974708 0.0
<class 'numpy.float64'> -1.1901506140520997 0.0
<class 'numpy.float64'> -1.918265727942014 0.0
<class 'numpy.float64'> -1.9774406806076286 0.0
<class 'numpy.float64'> -0.8959865650515326 0.0
<class 'numpy.float64'> -3.34801483443661 0.0
<class 'numpy.float64'> -3.4777207596061315 0.0
<class 'numpy.float64'> -3.4600848693696364 0.0
<class 'numpy.float64'> -3.7783261522764335 0.0
<class 'numpy.float64'> -4.158201725819395 0.0
<class 'numpy.float64'> -4.731861732170528 0.0
<class 'numpy.float64'> -5.213257299368865 0.0
<class 'numpy.float64'> 4.348375132261226 0.0
<class 'numpy.float64'> -5.509213439720354 0.0
<class 'numpy.float64'> -100.0 1.0
Total T: 183 Episode Num: 2 Episode T: 84 Reward: -232.073
<class 'numpy.float64'> -2.439992581566655 0.0
<class 'numpy.float64'> -1.7636171138858572 0.0
<class 'numpy.float64'> -1.1994093414381826 0.0
<class 'numpy.float64'> -1.7460925201936845 0.0
<class 'numpy.float64'> -1.7682523504892345 0.0
<class 'numpy.float64'> -2.4130842258257403 0.0
<class 'numpy.float64'> 0.6413764637062342 0.0
<class 'numpy.float64'> -2.6381665498164453 0.0
<class 'numpy.float64'> -1.0889203861500778 0.0
<class 'numpy.float64'> -1.2445777562215585 0.0
<class 'numpy.float64'> -1.617698996625677 0.0
<class 'numpy.float64'> -0.9158341469531581 0.0
<class 'numpy.float64'> 4.54333578391275 0.0
<class 'numpy.float64'> -2.174759027271533 0.0
<class 'numpy.float64'> -1.659079289369032 0.0
<class 'numpy.float64'> -2.40215782938145 0.0
<class 'numpy.float64'> -1.2560645144436353 0.0
<class 'numpy.float64'> -2.1973402684671997 0.0
<class 'numpy.float64'> -2.4435337821537915 0.0
<class 'numpy.float64'> -2.4368234749437634 0.0
<class 'numpy.float64'> -2.015717540311641 0.0
<class 'numpy.float64'> -1.9712929607101444 0.0
<class 'numpy.float64'> -1.925315535511828 0.0
<class 'numpy.float64'> -1.8780496301178289 0.0
<class 'numpy.float64'> -1.2843835367465022 0.0
<class 'numpy.float64'> -1.0993790952550728 0.0
<class 'numpy.float64'> -1.3470510331349317 0.0
<class 'numpy.float64'> -2.0041360873267693 0.0
<class 'numpy.float64'> -1.4654177606168446 0.0
<class 'numpy.float64'> -2.060188065118892 0.0
<class 'numpy.float64'> -1.1143200532994786 0.0
<class 'numpy.float64'> 1.0224633265672025 0.0
<class 'numpy.float64'> -0.9152619981565795 0.0
<class 'numpy.float64'> -1.6226733156916555 0.0
<class 'numpy.float64'> -0.8830777400637533 0.0
<class 'numpy.float64'> -1.0455534769533017 0.0
<class 'numpy.float64'> 1.1016608788814721 0.0
<class 'numpy.float64'> 4.728728966030315 0.0
<class 'numpy.float64'> -0.6145893678159087 0.0
<class 'numpy.float64'> 4.647307196926374 0.0
<class 'numpy.float64'> 3.7703399192228746 0.0
<class 'numpy.float64'> -0.9222172644294915 0.0
<class 'numpy.float64'> -0.874624545423984 0.0
<class 'numpy.float64'> -0.2620774917289441 0.0
<class 'numpy.float64'> -1.2442400132005094 0.0
<class 'numpy.float64'> 2.7582996027807782 0.0
<class 'numpy.float64'> -1.3487601517019232 0.0
<class 'numpy.float64'> -1.574824659024215 0.0
<class 'numpy.float64'> -0.3515432130696172 0.0
<class 'numpy.float64'> 1.7479910434353882 0.0
<class 'numpy.float64'> 1.8410738739471924 0.0
<class 'numpy.float64'> -0.06855094290619831 0.0
<class 'numpy.float64'> 0.04252495340736687 0.0
<class 'numpy.float64'> 0.4091933489073949 0.0
<class 'numpy.float64'> -0.7556355878967043 0.0
<class 'numpy.float64'> 0.38904221887764945 0.0
<class 'numpy.float64'> -0.011622282449252452 0.0
<class 'numpy.float64'> 0.01698461987035671 0.0
<class 'numpy.float64'> 0.6610631637997824 0.0
<class 'numpy.float64'> 0.2778798770322055 0.0
<class 'numpy.float64'> 0.8748334915742089 0.0
<class 'numpy.float64'> 3.796751726736102 0.0
<class 'numpy.float64'> 0.3821034083342738 0.0
<class 'numpy.float64'> 0.9191335284249373 0.0
<class 'numpy.float64'> 0.5135027260888592 0.0
<class 'numpy.float64'> 2.9026122326471695 0.0
<class 'numpy.float64'> 0.29141934849502604 0.0
<class 'numpy.float64'> 2.277862132182645 0.0
<class 'numpy.float64'> -0.8080743010154083 0.0
<class 'numpy.float64'> -1.295474078234405 0.0
<class 'numpy.float64'> -0.9468797702763811 0.0
<class 'numpy.float64'> -1.120029029285347 0.0
<class 'numpy.float64'> 12.637515214555389 0.0
<class 'numpy.float64'> 13.020143626218584 0.0
<class 'numpy.float64'> -100.0 1.0
Total T: 258 Episode Num: 3 Episode T: 75 Reward: -102.021
<class 'numpy.float64'> 1.1552537236780438 0.0
<class 'numpy.float64'> 1.1978717468225284 0.0
<class 'numpy.float64'> -2.491636022986614 0.0
<class 'numpy.float64'> 1.19714926315919 0.0
<class 'numpy.float64'> 1.926324086514229 0.0
<class 'numpy.float64'> 1.2986181159467094 0.0
<class 'numpy.float64'> 0.03639891279499466 0.0
<class 'numpy.float64'> -0.16551577587497832 0.0
<class 'numpy.float64'> -1.343238312038227 0.0
<class 'numpy.float64'> -0.41582495359278826 0.0
<class 'numpy.float64'> -1.310163350591796 0.0
<class 'numpy.float64'> -2.798698457605769 0.0
<class 'numpy.float64'> -0.7441324043812745 0.0
<class 'numpy.float64'> -1.2454334394613966 0.0
<class 'numpy.float64'> -1.2609159843486555 0.0
<class 'numpy.float64'> 0.47902626056785036 0.0
<class 'numpy.float64'> -4.041808566550077 0.0
<class 'numpy.float64'> -0.22568817022525423 0.0
<class 'numpy.float64'> -0.3862692112026309 0.0
<class 'numpy.float64'> -3.4181912598208894 0.0
<class 'numpy.float64'> -1.3520936069855611 0.0
<class 'numpy.float64'> -1.5410816730525767 0.0
<class 'numpy.float64'> -2.3624277719163045 0.0
<class 'numpy.float64'> -3.9433532464972414 0.0
<class 'numpy.float64'> -0.6321214882050299 0.0
<class 'numpy.float64'> 0.32690917425867494 0.0
<class 'numpy.float64'> 0.6282081147948599 0.0
<class 'numpy.float64'> -2.003209751866335 0.0
<class 'numpy.float64'> -2.2892767222357007 0.0
<class 'numpy.float64'> -2.2299687758902165 0.0
<class 'numpy.float64'> 0.5874980623100055 0.0
<class 'numpy.float64'> -1.2853087757949766 0.0
<class 'numpy.float64'> -2.1646873128329944 0.0
<class 'numpy.float64'> -1.1371873676875452 0.0
<class 'numpy.float64'> -1.2910304882404091 0.0
<class 'numpy.float64'> -0.057665709805262394 0.0
<class 'numpy.float64'> -1.3419192816064367 0.0
<class 'numpy.float64'> -2.408404210206213 0.0
<class 'numpy.float64'> -2.8246829410550434 0.0
<class 'numpy.float64'> -0.6402381824513828 0.0
<class 'numpy.float64'> -0.7050419809006871 0.0
<class 'numpy.float64'> -2.63870853764834 0.0
<class 'numpy.float64'> -3.0822166613881152 0.0
<class 'numpy.float64'> -2.1486911704205625 0.0
<class 'numpy.float64'> -1.072288029102366 0.0
<class 'numpy.float64'> -1.9900197390871597 0.0
<class 'numpy.float64'> -1.9976249607510397 0.0
<class 'numpy.float64'> -1.1724630464240409 0.0
<class 'numpy.float64'> -1.4281875646937465 0.0
<class 'numpy.float64'> -0.9449721813190581 0.0
<class 'numpy.float64'> -2.79521322137998 0.0
<class 'numpy.float64'> 0.2777334481099388 0.0
<class 'numpy.float64'> -2.6650268253250418 0.0
<class 'numpy.float64'> -0.8979064436168744 0.0
<class 'numpy.float64'> -0.6756523589180847 0.0
<class 'numpy.float64'> -1.488192861923551 0.0
<class 'numpy.float64'> -0.7277144209423045 0.0
<class 'numpy.float64'> -1.2711649837249297 0.0
<class 'numpy.float64'> -0.34699525133637965 0.0
<class 'numpy.float64'> 0.9489248514346229 0.0
<class 'numpy.float64'> -0.07336845713918477 0.0
<class 'numpy.float64'> -1.852903067796375 0.0
<class 'numpy.float64'> -1.7614365962542127 0.0
<class 'numpy.float64'> -1.994665355724037 0.0
<class 'numpy.float64'> 0.000930562886748032 0.0
<class 'numpy.float64'> -2.104096589276024 0.0
<class 'numpy.float64'> 0.09403648364196898 0.0
<class 'numpy.float64'> 0.5263120133169934 0.0
<class 'numpy.float64'> -1.4679256342912765 0.0
<class 'numpy.float64'> -1.4426416907456598 0.0
<class 'numpy.float64'> -2.2165601119596645 0.0
<class 'numpy.float64'> -2.5767395295082154 0.0
<class 'numpy.float64'> -1.7289791429053594 0.0
<class 'numpy.float64'> -0.1550597421329371 0.0
<class 'numpy.float64'> -2.8478143596381913 0.0
<class 'numpy.float64'> -2.9862568087031875 0.0
<class 'numpy.float64'> -3.1748584272124547 0.0
<class 'numpy.float64'> -2.2824529418638235 0.0
<class 'numpy.float64'> -2.2566549477595004 0.0
<class 'numpy.float64'> -1.3473826305793455 0.0
<class 'numpy.float64'> -1.0869614177082372 0.0
<class 'numpy.float64'> -1.002423885977662 0.0
<class 'numpy.float64'> -0.8988445901389628 0.0
<class 'numpy.float64'> -0.2831401542763661 0.0
<class 'numpy.float64'> -0.10634280804541049 0.0
<class 'numpy.float64'> -0.864012293151518 0.0
<class 'numpy.float64'> -1.5978683038143504 0.0
<class 'numpy.float64'> -0.9857381121180993 0.0
<class 'numpy.float64'> -0.9688778137843315 0.0
<class 'numpy.float64'> 1.1809899178079604 0.0
<class 'numpy.float64'> -2.243364767675159 0.0
<class 'numpy.float64'> -1.3339520412865227 0.0
<class 'numpy.float64'> -2.1276313792411927 0.0
<class 'numpy.float64'> -1.5150527895939945 0.0
<class 'numpy.float64'> -1.107768459717238 0.0
<class 'numpy.float64'> -0.6544937656953767 0.0
<class 'numpy.float64'> -0.7012424824368668 0.0
<class 'numpy.float64'> -1.2778524713733077 0.0
<class 'numpy.float64'> -1.330190726552189 0.0
<class 'numpy.float64'> -2.2478767360609866 0.0
<class 'numpy.float64'> -0.35413776978895156 0.0
<class 'numpy.float64'> -1.8924152332515973 0.0
<class 'numpy.float64'> -2.8964966053904093 0.0
<class 'numpy.float64'> -1.6215979416772075 0.0
<class 'numpy.float64'> -1.4668025459599494 0.0
<class 'numpy.float64'> -1.4927224056097816 0.0
<class 'numpy.float64'> -1.4430118201528603 0.0
<class 'numpy.float64'> -1.262256272105019 0.0
<class 'numpy.float64'> -2.2864840047546977 0.0
<class 'numpy.float64'> -1.6438955645384954 0.0
<class 'numpy.float64'> -1.56901468339139 0.0
<class 'numpy.float64'> -3.826633288474993 0.0
<class 'numpy.float64'> -4.622868002078547 0.0
<class 'numpy.float64'> -4.980706446024185 0.0
<class 'numpy.float64'> -3.7494789109243514 0.0
<class 'numpy.float64'> 5.409790152101891 0.0
<class 'numpy.float64'> 5.555892226912192 0.0
<class 'numpy.float64'> -100.0 1.0
Total T: 376 Episode Num: 4 Episode T: 118 Reward: -244.284
<class 'numpy.float64'> 0.1386861569808957 0.0
<class 'numpy.float64'> -0.13027739062195565 0.0
<class 'numpy.float64'> 0.01433996101958429 0.0
